"GroupID","GroupName","OwnershipStatus","MembershipCategory","RiskScore","RiskLevel"
"GRP-0001","GRP-Legal-0001","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0002","GRP-Finance-0002","Valid Owner","Normal","0","LOW"
"GRP-0003","GRP-CustomerSuccess-0003","Valid Owner","Normal","0","LOW"
"GRP-0004","GRP-Security-0004","Valid Owner","Large","5","LOW"
"GRP-0005","GRP-Marketing-0005","Valid Owner","Normal","0","LOW"
"GRP-0006","GRP-Operations-0006","Valid Owner","Very Small","15","LOW"
"GRP-0007","GRP-Engineering-0007","Valid Owner","Normal","0","LOW"
"GRP-0008","GRP-Marketing-0008","Valid Owner","Normal","0","LOW"
"GRP-0009","GRP-Marketing-0009","Valid Owner","Normal","0","LOW"
"GRP-0010","GRP-Legal-0010","Valid Owner","Large","5","LOW"
"GRP-0011","GRP-Sales-0011","Valid Owner","Normal","0","LOW"
"GRP-0012","GRP-Legal-0012","Valid Owner","Normal","0","LOW"
"GRP-0013","GRP-Finance-0013","Valid Owner","Normal","0","LOW"
"GRP-0014","GRP-Sales-0014","Valid Owner","Very Small","15","LOW"
"GRP-0015","GRP-Operations-0015","Valid Owner","Large","5","LOW"
"GRP-0016","GRP-HR-0016","Valid Owner","Large","5","LOW"
"GRP-0017","GRP-CustomerSuccess-0017","Valid Owner","Very Small","15","LOW"
"GRP-0018","GRP-Finance-0018","Valid Owner","Normal","0","LOW"
"GRP-0019","GRP-Operations-0019","Valid Owner","Very Large","15","LOW"
"GRP-0020","GRP-Finance-0020","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0021","GRP-CustomerSuccess-0021","Valid Owner","Large","5","LOW"
"GRP-0022","GRP-Operations-0022","Valid Owner","Large","5","LOW"
"GRP-0023","GRP-Finance-0023","Valid Owner","Large","5","LOW"
"GRP-0024","GRP-Marketing-0024","Valid Owner","Normal","0","LOW"
"GRP-0025","GRP-Engineering-0025","Valid Owner","Normal","0","LOW"
"GRP-0026","GRP-HR-0026","Valid Owner","Normal","0","LOW"
"GRP-0027","GRP-IT-0027","Valid Owner","Very Large","15","LOW"
"GRP-0028","GRP-Security-0028","Multiple Owners","Normal","25","MEDIUM"
"GRP-0029","GRP-Marketing-0029","Valid Owner","Large","5","LOW"
"GRP-0030","GRP-CustomerSuccess-0030","Valid Owner","Large","5","LOW"
"GRP-0031","GRP-HR-0031","Valid Owner","Large","5","LOW"
"GRP-0032","GRP-Legal-0032","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0033","GRP-Sales-0033","Valid Owner","Large","5","LOW"
"GRP-0034","GRP-Finance-0034","Valid Owner","Very Large","15","LOW"
"GRP-0035","GRP-Marketing-0035","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0036","GRP-Marketing-0036","Valid Owner","Large","5","LOW"
"GRP-0037","GRP-Sales-0037","Multiple Owners","Very Small","40","MEDIUM"
"GRP-0038","GRP-Operations-0038","Valid Owner","Very Small","15","LOW"
"GRP-0039","GRP-CustomerSuccess-0039","Valid Owner","Very Large","15","LOW"
"GRP-0040","GRP-HR-0040","Valid Owner","Very Large","15","LOW"
"GRP-0041","GRP-Finance-0041","Valid Owner","Very Large","15","LOW"
"GRP-0042","GRP-Finance-0042","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0043","GRP-Legal-0043","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0044","GRP-Legal-0044","Valid Owner","Large","5","LOW"
"GRP-0045","GRP-Engineering-0045","Valid Owner","Very Small","15","LOW"
"GRP-0046","GRP-Engineering-0046","Valid Owner","Normal","0","LOW"
"GRP-0047","GRP-Security-0047","Valid Owner","Large","5","LOW"
"GRP-0048","GRP-Legal-0048","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0049","GRP-Security-0049","Valid Owner","Very Large","15","LOW"
"GRP-0050","GRP-Operations-0050","Valid Owner","Large","5","LOW"
"GRP-0051","GRP-Engineering-0051","Valid Owner","Large","5","LOW"
"GRP-0052","GRP-Legal-0052","Valid Owner","Normal","0","LOW"
"GRP-0053","GRP-Sales-0053","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0054","GRP-Marketing-0054","Valid Owner","Normal","0","LOW"
"GRP-0055","GRP-Security-0055","Valid Owner","Very Large","15","LOW"
"GRP-0056","GRP-Legal-0056","Valid Owner","Very Large","15","LOW"
"GRP-0057","GRP-Finance-0057","Valid Owner","Normal","0","LOW"
"GRP-0058","GRP-Engineering-0058","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0059","GRP-CustomerSuccess-0059","Valid Owner","Large","5","LOW"
"GRP-0060","GRP-Finance-0060","Valid Owner","Very Small","15","LOW"
"GRP-0061","GRP-HR-0061","Valid Owner","Very Small","15","LOW"
"GRP-0062","GRP-Sales-0062","Valid Owner","Very Large","15","LOW"
"GRP-0063","GRP-Finance-0063","Valid Owner","Large","5","LOW"
"GRP-0064","GRP-Legal-0064","Valid Owner","Empty Group","40","MEDIUM"
"GRP-0065","GRP-HR-0065","Multiple Owners","Normal","25","MEDIUM"
"GRP-0066","GRP-HR-0066","Multiple Owners","Very Small","40","MEDIUM"
"GRP-0067","GRP-Engineering-0067","Valid Owner","Large","5","LOW"
"GRP-0068","GRP-CustomerSuccess-0068","Valid Owner","Very Small","15","LOW"
"GRP-0069","GRP-IT-0069","Valid Owner","Very Small","15","LOW"
"GRP-0070","GRP-Security-0070","Valid Owner","Normal","0","LOW"
"GRP-0071","GRP-CustomerSuccess-0071","Valid Owner","Large","5","LOW"
"GRP-0072","GRP-Operations-0072","Valid Owner","Large","5","LOW"
"GRP-0073","GRP-HR-0073","Multiple Owners","Very Large","40","MEDIUM"
"GRP-0074","GRP-IT-0074","Valid Owner","Large","5","LOW"
"GRP-0075","GRP-Security-0075","Valid Owner","Normal","0","LOW"
"GRP-0076","GRP-Operations-0076","Valid Owner","Large","5","LOW"
"GRP-0077","GRP-Security-0077","Multiple Owners","Large","30","MEDIUM"
"GRP-0078","GRP-Sales-0078","Valid Owner","Very Small","15","LOW"
"GRP-0079","GRP-IT-0079","Valid Owner","Large","5","LOW"
"GRP-0080","GRP-CustomerSuccess-0080","Valid Owner","Very Large","15","LOW"
"GRP-0081","GRP-Marketing-0081","Valid Owner","Very Large","15","LOW"
"GRP-0082","GRP-Security-0082","Valid Owner","Very Large","15","LOW"
"GRP-0083","GRP-Finance-0083","Valid Owner","Normal","0","LOW"
"GRP-0084","GRP-Sales-0084","Valid Owner","Large","5","LOW"
"GRP-0085","GRP-Finance-0085","Valid Owner","Large","5","LOW"
"GRP-0086","GRP-Security-0086","Valid Owner","Normal","0","LOW"
"GRP-0087","GRP-CustomerSuccess-0087","Valid Owner","Large","5","LOW"
"GRP-0088","GRP-Sales-0088","Valid Owner","Normal","0","LOW"
"GRP-0089","GRP-Legal-0089","Valid Owner","Large","5","LOW"
"GRP-0090","GRP-IT-0090","Valid Owner","Very Large","15","LOW"
"GRP-0091","GRP-Legal-0091","Valid Owner","Large","5","LOW"
"GRP-0092","GRP-IT-0092","Valid Owner","Very Small","15","LOW"
"GRP-0093","GRP-CustomerSuccess-0093","Valid Owner","Normal","0","LOW"
"GRP-0094","GRP-CustomerSuccess-0094","Valid Owner","Normal","0","LOW"
"GRP-0095","GRP-IT-0095","Valid Owner","Large","5","LOW"
"GRP-0096","GRP-Engineering-0096","Valid Owner","Large","5","LOW"
"GRP-0097","GRP-Operations-0097","Valid Owner","Large","5","LOW"
"GRP-0098","GRP-Security-0098","Valid Owner","Large","5","LOW"
"GRP-0099","GRP-Security-0099","Valid Owner","Large","5","LOW"
"GRP-0100","GRP-IT-0100","Valid Owner","Large","5","LOW"
"GRP-0101","GRP-Engineering-0101","Valid Owner","Large","5","LOW"
"GRP-0102","GRP-Security-0102","Valid Owner","Large","5","LOW"
"GRP-0103","GRP-CustomerSuccess-0103","Valid Owner","Large","5","LOW"
