"GroupID","GroupName","MemberCount","MembershipCategory","MembershipRisk"
"GRP-0001","GRP-Legal-0001","0","Empty Group","HIGH"
"GRP-0002","GRP-Finance-0002","23","Normal","LOW"
"GRP-0003","GRP-CustomerSuccess-0003","25","Normal","LOW"
"GRP-0004","GRP-Security-0004","180","Large","LOW"
"GRP-0005","GRP-Marketing-0005","27","Normal","LOW"
"GRP-0006","GRP-Operations-0006","5","Very Small","MEDIUM"
"GRP-0007","GRP-Engineering-0007","19","Normal","LOW"
"GRP-0008","GRP-Marketing-0008","22","Normal","LOW"
"GRP-0009","GRP-Marketing-0009","50","Normal","LOW"
"GRP-0010","GRP-Legal-0010","187","Large","LOW"
"GRP-0011","GRP-Sales-0011","18","Normal","LOW"
"GRP-0012","GRP-Legal-0012","34","Normal","LOW"
"GRP-0013","GRP-Finance-0013","35","Normal","LOW"
"GRP-0014","GRP-Sales-0014","1","Very Small","MEDIUM"
"GRP-0015","GRP-Operations-0015","69","Large","LOW"
"GRP-0016","GRP-HR-0016","88","Large","LOW"
"GRP-0017","GRP-CustomerSuccess-0017","2","Very Small","MEDIUM"
"GRP-0018","GRP-Finance-0018","43","Normal","LOW"
"GRP-0019","GRP-Operations-0019","478","Very Large","MEDIUM"
"GRP-0020","GRP-Finance-0020","0","Empty Group","HIGH"
"GRP-0021","GRP-CustomerSuccess-0021","176","Large","LOW"
"GRP-0022","GRP-Operations-0022","118","Large","LOW"
"GRP-0023","GRP-Finance-0023","156","Large","LOW"
"GRP-0024","GRP-Marketing-0024","41","Normal","LOW"
"GRP-0025","GRP-Engineering-0025","15","Normal","LOW"
"GRP-0026","GRP-HR-0026","18","Normal","LOW"
"GRP-0027","GRP-IT-0027","300","Very Large","MEDIUM"
"GRP-0028","GRP-Security-0028","21","Normal","LOW"
"GRP-0029","GRP-Marketing-0029","118","Large","LOW"
"GRP-0030","GRP-CustomerSuccess-0030","154","Large","LOW"
"GRP-0031","GRP-HR-0031","95","Large","LOW"
"GRP-0032","GRP-Legal-0032","0","Empty Group","HIGH"
"GRP-0033","GRP-Sales-0033","165","Large","LOW"
"GRP-0034","GRP-Finance-0034","266","Very Large","MEDIUM"
"GRP-0035","GRP-Marketing-0035","0","Empty Group","HIGH"
"GRP-0036","GRP-Marketing-0036","76","Large","LOW"
"GRP-0037","GRP-Sales-0037","4","Very Small","MEDIUM"
"GRP-0038","GRP-Operations-0038","3","Very Small","MEDIUM"
"GRP-0039","GRP-CustomerSuccess-0039","452","Very Large","MEDIUM"
"GRP-0040","GRP-HR-0040","332","Very Large","MEDIUM"
"GRP-0041","GRP-Finance-0041","346","Very Large","MEDIUM"
"GRP-0042","GRP-Finance-0042","0","Empty Group","HIGH"
"GRP-0043","GRP-Legal-0043","0","Empty Group","HIGH"
"GRP-0044","GRP-Legal-0044","199","Large","LOW"
"GRP-0045","GRP-Engineering-0045","3","Very Small","MEDIUM"
"GRP-0046","GRP-Engineering-0046","49","Normal","LOW"
"GRP-0047","GRP-Security-0047","175","Large","LOW"
"GRP-0048","GRP-Legal-0048","0","Empty Group","HIGH"
"GRP-0049","GRP-Security-0049","444","Very Large","MEDIUM"
"GRP-0050","GRP-Operations-0050","193","Large","LOW"
"GRP-0051","GRP-Engineering-0051","126","Large","LOW"
"GRP-0052","GRP-Legal-0052","22","Normal","LOW"
"GRP-0053","GRP-Sales-0053","0","Empty Group","HIGH"
"GRP-0054","GRP-Marketing-0054","42","Normal","LOW"
"GRP-0055","GRP-Security-0055","366","Very Large","MEDIUM"
"GRP-0056","GRP-Legal-0056","350","Very Large","MEDIUM"
"GRP-0057","GRP-Finance-0057","42","Normal","LOW"
"GRP-0058","GRP-Engineering-0058","0","Empty Group","HIGH"
"GRP-0059","GRP-CustomerSuccess-0059","107","Large","LOW"
"GRP-0060","GRP-Finance-0060","1","Very Small","MEDIUM"
"GRP-0061","GRP-HR-0061","4","Very Small","MEDIUM"
"GRP-0062","GRP-Sales-0062","212","Very Large","MEDIUM"
"GRP-0063","GRP-Finance-0063","198","Large","LOW"
"GRP-0064","GRP-Legal-0064","0","Empty Group","HIGH"
"GRP-0065","GRP-HR-0065","50","Normal","LOW"
"GRP-0066","GRP-HR-0066","3","Very Small","MEDIUM"
"GRP-0067","GRP-Engineering-0067","87","Large","LOW"
"GRP-0068","GRP-CustomerSuccess-0068","4","Very Small","MEDIUM"
"GRP-0069","GRP-IT-0069","5","Very Small","MEDIUM"
"GRP-0070","GRP-Security-0070","28","Normal","LOW"
"GRP-0071","GRP-CustomerSuccess-0071","164","Large","LOW"
"GRP-0072","GRP-Operations-0072","96","Large","LOW"
"GRP-0073","GRP-HR-0073","316","Very Large","MEDIUM"
"GRP-0074","GRP-IT-0074","111","Large","LOW"
"GRP-0075","GRP-Security-0075","18","Normal","LOW"
"GRP-0076","GRP-Operations-0076","88","Large","LOW"
"GRP-0077","GRP-Security-0077","142","Large","LOW"
"GRP-0078","GRP-Sales-0078","4","Very Small","MEDIUM"
"GRP-0079","GRP-IT-0079","175","Large","LOW"
"GRP-0080","GRP-CustomerSuccess-0080","379","Very Large","MEDIUM"
"GRP-0081","GRP-Marketing-0081","362","Very Large","MEDIUM"
"GRP-0082","GRP-Security-0082","391","Very Large","MEDIUM"
"GRP-0083","GRP-Finance-0083","10","Normal","LOW"
"GRP-0084","GRP-Sales-0084","60","Large","LOW"
"GRP-0085","GRP-Finance-0085","150","Large","LOW"
"GRP-0086","GRP-Security-0086","36","Normal","LOW"
"GRP-0087","GRP-CustomerSuccess-0087","74","Large","LOW"
"GRP-0088","GRP-Sales-0088","41","Normal","LOW"
"GRP-0089","GRP-Legal-0089","137","Large","LOW"
"GRP-0090","GRP-IT-0090","237","Very Large","MEDIUM"
"GRP-0091","GRP-Legal-0091","116","Large","LOW"
"GRP-0092","GRP-IT-0092","4","Very Small","MEDIUM"
"GRP-0093","GRP-CustomerSuccess-0093","16","Normal","LOW"
"GRP-0094","GRP-CustomerSuccess-0094","45","Normal","LOW"
"GRP-0095","GRP-IT-0095","71","Large","LOW"
"GRP-0096","GRP-Engineering-0096","169","Large","LOW"
"GRP-0097","GRP-Operations-0097","101","Large","LOW"
"GRP-0098","GRP-Security-0098","55","Large","LOW"
"GRP-0099","GRP-Security-0099","64","Large","LOW"
"GRP-0100","GRP-IT-0100","173","Large","LOW"
"GRP-0101","GRP-Engineering-0101","96","Large","LOW"
"GRP-0102","GRP-Security-0102","93","Large","LOW"
"GRP-0103","GRP-CustomerSuccess-0103","134","Large","LOW"
"GRP-0104","GRP-Finance-0104","3","Very Small","MEDIUM"
"GRP-0105","GRP-Engineering-0105","89","Large","LOW"
"GRP-0106","GRP-IT-0106","158","Large","LOW"
"GRP-0107","GRP-Legal-0107","1","Very Small","MEDIUM"
"GRP-0108","GRP-Engineering-0108","163","Large","LOW"
"GRP-0109","GRP-IT-0109","3","Very Small","MEDIUM"
"GRP-0110","GRP-Operations-0110","0","Empty Group","HIGH"
"GRP-0111","GRP-HR-0111","0","Empty Group","HIGH"
"GRP-0112","GRP-Legal-0112","146","Large","LOW"
"GRP-0113","GRP-HR-0113","5","Very Small","MEDIUM"
"GRP-0114","GRP-IT-0114","43","Normal","LOW"
"GRP-0115","GRP-Marketing-0115","38","Normal","LOW"
"GRP-0116","GRP-Operations-0116","78","Large","LOW"
"GRP-0117","GRP-Operations-0117","0","Empty Group","HIGH"
"GRP-0118","GRP-Operations-0118","406","Very Large","MEDIUM"
"GRP-0119","GRP-IT-0119","191","Large","LOW"
"GRP-0120","GRP-Sales-0120","101","Large","LOW"
"GRP-0121","GRP-Legal-0121","198","Large","LOW"
"GRP-0122","GRP-CustomerSuccess-0122","0","Empty Group","HIGH"
"GRP-0123","GRP-Engineering-0123","115","Large","LOW"
"GRP-0124","GRP-Engineering-0124","146","Large","LOW"
"GRP-0125","GRP-Marketing-0125","178","Large","LOW"
"GRP-0126","GRP-Engineering-0126","41","Normal","LOW"
"GRP-0127","GRP-CustomerSuccess-0127","76","Large","LOW"
"GRP-0128","GRP-HR-0128","21","Normal","LOW"
"GRP-0129","GRP-Marketing-0129","45","Normal","LOW"
"GRP-0130","GRP-CustomerSuccess-0130","39","Normal","LOW"
"GRP-0131","GRP-Engineering-0131","85","Large","LOW"
"GRP-0132","GRP-Legal-0132","2","Very Small","MEDIUM"
"GRP-0133","GRP-Operations-0133","166","Large","LOW"
"GRP-0134","GRP-Engineering-0134","38","Normal","LOW"
"GRP-0135","GRP-HR-0135","152","Large","LOW"
"GRP-0136","GRP-HR-0136","80","Large","LOW"
"GRP-0137","GRP-Legal-0137","4","Very Small","MEDIUM"
"GRP-0138","GRP-Security-0138","66","Large","LOW"
"GRP-0139","GRP-Operations-0139","108","Large","LOW"
"GRP-0140","GRP-IT-0140","2","Very Small","MEDIUM"
"GRP-0141","GRP-CustomerSuccess-0141","106","Large","LOW"
"GRP-0142","GRP-Sales-0142","123","Large","LOW"
"GRP-0143","GRP-Legal-0143","195","Large","LOW"
"GRP-0144","GRP-CustomerSuccess-0144","37","Normal","LOW"
"GRP-0145","GRP-Sales-0145","3","Very Small","MEDIUM"
"GRP-0146","GRP-IT-0146","4","Very Small","MEDIUM"
"GRP-0147","GRP-Engineering-0147","43","Normal","LOW"
"GRP-0148","GRP-HR-0148","3","Very Small","MEDIUM"
"GRP-0149","GRP-Legal-0149","1","Very Small","MEDIUM"
"GRP-0150","GRP-HR-0150","193","Large","LOW"
"GRP-0151","GRP-Marketing-0151","30","Normal","LOW"
"GRP-0152","GRP-Operations-0152","21","Normal","LOW"
"GRP-0153","GRP-HR-0153","2","Very Small","MEDIUM"
"GRP-0154","GRP-HR-0154","92","Large","LOW"
"GRP-0155","GRP-Engineering-0155","2","Very Small","MEDIUM"
"GRP-0156","GRP-IT-0156","211","Very Large","MEDIUM"
"GRP-0157","GRP-Marketing-0157","113","Large","LOW"
"GRP-0158","GRP-Sales-0158","67","Large","LOW"
"GRP-0159","GRP-Sales-0159","43","Normal","LOW"
"GRP-0160","GRP-IT-0160","184","Large","LOW"
"GRP-0161","GRP-Marketing-0161","2","Very Small","MEDIUM"
"GRP-0162","GRP-Sales-0162","135","Large","LOW"
"GRP-0163","GRP-Engineering-0163","34","Normal","LOW"
"GRP-0164","GRP-IT-0164","136","Large","LOW"
"GRP-0165","GRP-Security-0165","136","Large","LOW"
"GRP-0166","GRP-Engineering-0166","0","Empty Group","HIGH"
"GRP-0167","GRP-Operations-0167","34","Normal","LOW"
"GRP-0168","GRP-Operations-0168","23","Normal","LOW"
"GRP-0169","GRP-CustomerSuccess-0169","1","Very Small","MEDIUM"
"GRP-0170","GRP-Sales-0170","286","Very Large","MEDIUM"
"GRP-0171","GRP-IT-0171","0","Empty Group","HIGH"
"GRP-0172","GRP-Security-0172","254","Very Large","MEDIUM"
"GRP-0173","GRP-Engineering-0173","146","Large","LOW"
"GRP-0174","GRP-Marketing-0174","104","Large","LOW"
"GRP-0175","GRP-Security-0175","110","Large","LOW"
"GRP-0176","GRP-Marketing-0176","39","Normal","LOW"
"GRP-0177","GRP-Finance-0177","31","Normal","LOW"
"GRP-0178","GRP-CustomerSuccess-0178","491","Very Large","MEDIUM"
"GRP-0179","GRP-Legal-0179","175","Large","LOW"
"GRP-0180","GRP-Legal-0180","36","Normal","LOW"
"GRP-0181","GRP-IT-0181","84","Large","LOW"
"GRP-0182","GRP-Sales-0182","19","Normal","LOW"
"GRP-0183","GRP-Finance-0183","42","Normal","LOW"
"GRP-0184","GRP-CustomerSuccess-0184","41","Normal","LOW"
"GRP-0185","GRP-HR-0185","0","Empty Group","HIGH"
"GRP-0186","GRP-Sales-0186","144","Large","LOW"
"GRP-0187","GRP-IT-0187","131","Large","LOW"
"GRP-0188","GRP-Finance-0188","48","Normal","LOW"
"GRP-0189","GRP-HR-0189","151","Large","LOW"
"GRP-0190","GRP-Security-0190","30","Normal","LOW"
"GRP-0191","GRP-IT-0191","0","Empty Group","HIGH"
"GRP-0192","GRP-Finance-0192","150","Large","LOW"
"GRP-0193","GRP-Marketing-0193","34","Normal","LOW"
"GRP-0194","GRP-Operations-0194","449","Very Large","MEDIUM"
"GRP-0195","GRP-Security-0195","20","Normal","LOW"
"GRP-0196","GRP-HR-0196","27","Normal","LOW"
"GRP-0197","GRP-Sales-0197","168","Large","LOW"
"GRP-0198","GRP-Sales-0198","106","Large","LOW"
"GRP-0199","GRP-Sales-0199","67","Large","LOW"
"GRP-0200","GRP-Sales-0200","0","Empty Group","HIGH"
"GRP-0201","GRP-Security-0201","15","Normal","LOW"
"GRP-0202","GRP-Sales-0202","86","Large","LOW"
"GRP-0203","GRP-Security-0203","46","Normal","LOW"
"GRP-0204","GRP-IT-0204","50","Normal","LOW"
"GRP-0205","GRP-Engineering-0205","5","Very Small","MEDIUM"
"GRP-0206","GRP-Security-0206","0","Empty Group","HIGH"
"GRP-0207","GRP-IT-0207","17","Normal","LOW"
