"GroupID","GroupName","OwnershipStatus","MembershipCategory","RiskScore","RiskLevel"
"GRP-0380","GRP-Security-0380","Valid Owner","Large","5","LOW"
"GRP-0371","GRP-Finance-0371","Valid Owner","Large","5","LOW"
"GRP-0154","GRP-HR-0154","Valid Owner","Large","5","LOW"
"GRP-0370","GRP-Finance-0370","Valid Owner","Large","5","LOW"
"GRP-0157","GRP-Marketing-0157","Valid Owner","Large","5","LOW"
"GRP-0158","GRP-Sales-0158","Valid Owner","Large","5","LOW"
"GRP-0366","GRP-Operations-0366","Valid Owner","Large","5","LOW"
"GRP-0160","GRP-IT-0160","Valid Owner","Large","5","LOW"
"GRP-0364","GRP-HR-0364","Valid Owner","Large","5","LOW"
"GRP-0162","GRP-Sales-0162","Valid Owner","Large","5","LOW"
"GRP-0363","GRP-HR-0363","Valid Owner","Large","5","LOW"
"GRP-0164","GRP-IT-0164","Valid Owner","Large","5","LOW"
"GRP-0165","GRP-Security-0165","Valid Owner","Large","5","LOW"
"GRP-0362","GRP-Sales-0362","Valid Owner","Large","5","LOW"
"GRP-0359","GRP-IT-0359","Valid Owner","Large","5","LOW"
"GRP-0173","GRP-Engineering-0173","Valid Owner","Large","5","LOW"
"GRP-0174","GRP-Marketing-0174","Valid Owner","Large","5","LOW"
"GRP-0175","GRP-Security-0175","Valid Owner","Large","5","LOW"
"GRP-0356","GRP-Sales-0356","Valid Owner","Large","5","LOW"
"GRP-0179","GRP-Legal-0179","Valid Owner","Large","5","LOW"
